Manifest_URL;Image_basename
https://purl.stanford.edu/pr444bb2006/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0292
https://purl.stanford.edu/jt855sc2143/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0289
https://purl.stanford.edu/xz282wc8447/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0284_Medium_100062708
https://purl.stanford.edu/xj035pj4779/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0282_Medium_100082374
https://purl.stanford.edu/jt399mb8580/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0281_Medium_100082373
https://purl.stanford.edu/nm106gm5236/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0277_Medium_100082369
https://purl.stanford.edu/hh228zr1239/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0269_Medium_100082363
https://purl.stanford.edu/mn936zn4099/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0266
https://purl.stanford.edu/zs503zt2162/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0240
https://purl.stanford.edu/zv762vd8005/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0220
https://purl.stanford.edu/jb119rn7623/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0208_Medium_100082320
https://purl.stanford.edu/dt765nv8976/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0206
https://purl.stanford.edu/wx114pq5623/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0204
https://purl.stanford.edu/my189pm5441/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0202
https://purl.stanford.edu/hw305bv4114/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0197_Medium_100082316
https://purl.stanford.edu/np517xz5161/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0196
https://purl.stanford.edu/fx476tb0662/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0186
https://purl.stanford.edu/fx384wm8694/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0179
https://purl.stanford.edu/yk435gb3262/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0178_Medium_100082312
https://purl.stanford.edu/sw741tz6027/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0177
https://purl.stanford.edu/td467pn7624/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0173_Medium_100082311
https://purl.stanford.edu/qm670kv1873/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0168
https://purl.stanford.edu/ky597ww7858/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0167
https://purl.stanford.edu/ff688vm4417/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0166
https://purl.stanford.edu/kf642qf4553/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0164_Medium_100082310
https://purl.stanford.edu/wq809bf0102/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0099_Medium_100082298
https://purl.stanford.edu/yf686hv8184/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0095_Medium_100082295
https://purl.stanford.edu/kf436hc7882/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0089_Medium_100082290
https://purl.stanford.edu/dg026mz7261/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0086_Medium_100082287
https://purl.stanford.edu/wq365zx5703/iiif/manifest;Baltimore_The_Walters_Art_Museum_W_0047
https://bvmm.irht.cnrs.fr/iiif/17953/manifest;Avranches_Bibliothèque_municipale_inv_094_1_1_inv_094_1_1_provenance_Medium_100042233
https://bvmm.irht.cnrs.fr/iiif/992/manifest;Avranches_Bibliothèque_municipale_302_Medium_100035131
https://bvmm.irht.cnrs.fr/iiif/24148/manifest;Auxerre_Trésor_de_la_cathédrale_n_020_Medium_37716
https://bvmm.irht.cnrs.fr/iiif/24155/manifest;Auxerre_Trésor_de_la_cathédrale_n_018_Medium_37714
https://bvmm.irht.cnrs.fr/iiif/24145/manifest;Auxerre_Trésor_de_la_cathédrale_n_015_Medium_37712
https://bvmm.irht.cnrs.fr/iiif/24144/manifest;Auxerre_Trésor_de_la_cathédrale_n_014_Medium_37711
https://bvmm.irht.cnrs.fr/iiif/24142/manifest;Auxerre_Trésor_de_la_cathédrale_n_012_Medium_37709
https://bvmm.irht.cnrs.fr/iiif/24141/manifest;Auxerre_Trésor_de_la_cathédrale_n_010_Medium_37707
https://bvmm.irht.cnrs.fr/iiif/22993/manifest;Autun_Musée_Rolin_SE_207_Album_Bulliot_n_05_exempl_associé_Medium_100010534
https://bvmm.irht.cnrs.fr/iiif/22759/manifest;Autun_Bibliothèque_municipale_S_191_Medium_1033
https://bvmm.irht.cnrs.fr/iiif/22185/manifest;Autun_Bibliothèque_municipale_S_119_99_A_99_A_S_119_cote_catalogue_CGM_Medium_982
